Censo;Codigo;Departamento;Poblacion;Varones; Mujeres;VivPartTot;VivColectTot;IndMasc;Superficie;DensPob
1991;6007;Adolfo Alsina;18077;9041;9036;;;100.1;5875;3.1
1991;6001;Adolfo Gonzales Chaves;12747;6382;6365;;;100.3;3780;3.4
1991;6021;Alberti;10627;5248;5379;;;97.6;1130;9.4
1991;6042;Ayacucho;19634;9754;9880;;;98.7;6785;2.9
1991;6049;Azul;62271;30692;31579;;;97.2;6615;9.4
1991;6056;Bahía Blanca;272191;130801;141390;;;92.5;2300;118.3
1991;6063;Balcarce;41194;20861;20333;;;102.6;4120;10
1991;6070;Baradero;28500;14164;14336;;;98.8;1514;18.8
1991;6003;Bartolomé Mitre;24593;12167;12426;;;97.9;1183;20.8
1991;6084;Benito Juárez;20350;10130;10220;;;99.1;5285;3.9
1991;6098;Berisso;74761;36516;38245;;;95.5;135;553.8
1991;6105;Bolívar;32757;15943;16814;;;94.8;5027;6.5
1991;6112;Bragado;40442;19765;20677;;;95.6;2230;18.1
1991;6119;Brandsen;18424;9179;9245;;;99.3;1130;16.3
1991;6126;Campana;71464;35596;35868;;;99.2;982;72.8
1991;6134;Cañuelas;30900;15580;15320;;;101.7;1200;25.8
1991;6140;Capitán Sarmiento;11392;5710;5682;;;100.5;617;18.5
1991;6147;Carlos Casares;20126;9989;10137;;;98.5;2446;8.2
1991;6154;Carlos Tejedor;12229;6270;5959;;;105.2;3933;3.1
1991;6161;Carmen de Areco;12581;6363;6218;;;102.3;1080;11.6
1991;6168;Castelli;7025;3507;3518;;;99.7;2100;3.3
1991;6175;Colón;21192;10467;10725;;;97.6;1022;20.7
1991;6004;Coronel de Marina Leonardo Rosales;59543;30784;28759;;;107;1312;45.4
1991;6189;Coronel Dorrego;17741;8738;9003;;;97.1;5818;3
1991;6196;Coronel Pringles;22905;11387;11518;;;98.9;5245;4.4
1991;6203;Coronel Suárez;35710;17837;17873;;;99.8;5985;6
1991;6210;Chacabuco;43650;21516;22134;;;97.2;2290;19.1
1991;6217;Chascomús;35174;17408;17766;;;98;4225;8.3
1991;6224;Chivilcoy;57479;27592;29887;;;92.3;2075;27.7
1991;6231;Daireaux;14694;7388;7306;;;101.1;3820;3.8
1991;6238;Dolores;24306;11873;12433;;;95.5;1980;12.3
1991;6245;Ensenada;48237;24047;24190;;;99.4;101;477.6
1991;6252;Escobar;128421;64131;64290;;;99.8;277;463.6
1991;6266;Exaltación de la Cruz;17072;8753;8319;;;105.2;662;25.8
1991;6277;Florentino Ameghino;7516;3849;3667;;;105;1825;4.1
1991;6280;General Alvarado;30385;15412;14973;;;102.9;1677;18.1
1991;6287;General Alvear;8241;4173;4068;;;102.6;3432;2.4
1991;6294;General Arenales;15102;7696;7406;;;103.9;1522;9.9
1991;6301;General Belgrano;13941;6756;7185;;;94;1870;7.5
1991;6308;General Guido;2857;1486;1371;;;108.4;2340;1.2
1991;6315;General Juan Madariaga;16923;8295;8628;;;96.1;2964;5.7
1991;6322;General La Madrid;10641;5427;5214;;;104.1;4800;2.2
1991;6329;General Las Heras;10987;5466;5521;;;99;760;14.5
1991;6336;General Lavalle;3046;1653;1393;;;118.7;2649;1.1
1991;6343;General Paz;9338;4697;4641;;;101.2;1240;7.5
1991;6351;General Pinto;11610;5886;5724;;;102.8;2545;4.6
1991;6357;General Pueyrredón;532845;256408;276437;;;92.8;1460;365
1991;6364;General Rodríguez;48383;24295;24088;;;100.9;360;134.4
1991;6385;General Viamonte;17744;8816;8928;;;98.7;2150;8.3
1991;6392;General Villegas;27494;13982;13512;;;103.5;7265;3.8
1991;6399;Guaminí;12284;6220;6064;;;102.6;4840;2.5
1991;6406;Hipólito Yrigoyen;9038;4525;4513;;;100.3;1663;5.4
1991;6413;Junín;84295;40563;43732;;;92.8;2260;37.3
1991;6420;La Costa;38603;19502;19101;;;102.1;226;170.8
1991;6441;La Plata;541905;262224;279681;;;93.8;926;585.2
1991;6448;Laprida;9322;4642;4680;;;99.2;3440;2.7
1991;6455;Las Flores;21980;10762;11218;;;95.9;3350;6.6
1991;6462;Leandro N. Alem;16553;8138;8415;;;96.7;1600;10.3
1991;6469;Lincoln;40592;20092;20500;;;98;5772;7
1991;6476;Lobería;17647;9247;8400;;;110.1;4755;3.7
1991;6483;Lobos;30788;15029;15759;;;95.4;1740;17.7
1991;6497;Luján;80645;40064;40581;;;98.7;800;100.8
1991;6505;Magdalena;22409;11885;10524;;;112.9;3490;6.4
1991;6511;Maipú;10042;4828;5214;;;92.6;2640;3.8
1991;6518;Mar Chiquita;14884;7538;7346;;;102.6;3116;4.8
1991;6525;Marcos Paz;29104;14674;14430;;;101.7;470;61.9
1991;6532;Mercedes;55613;27604;28009;;;98.6;1050;53
1991;6547;Monte;15479;7750;7729;;;100.3;1890;8.2
1991;6553;Monte Hermoso;3605;1872;1733;;;108;230;15.7
1991;6574;Navarro;13764;6838;6926;;;98.7;1630;8.4
1991;6581;Necochea;84581;41215;43366;;;95;4455;19
1991;6588;9 De Julio;44021;21662;22359;;;96.9;4230;10.4
1991;6595;Olavarría;98014;48515;49499;;;98;7715;12.7
1991;6602;Patagones;27469;14122;13347;;;105.8;13600;2
1991;6609;Pehuajó;38151;18848;19303;;;97.6;4560;8.4
1991;6616;Pellegrini;5797;2973;2824;;;105.3;1853;3.1
1991;6623;Pergamino;94592;45633;48959;;;93.2;2950;32.1
1991;6630;Pila;2969;1571;1398;;;112.4;3493;0.8
1991;6638;Pilar;130187;65556;64631;;;101.4;352;369.8
1991;6644;Pinamar;10316;5320;4996;;;106.5;63;163.7
1991;6651;Puán;17617;8840;8777;;;100.7;6385;2.8
1991;6665;Ramallo;26868;13573;13295;;;102.1;1040;25.8
1991;6672;Rauch;13909;6909;7000;;;98.7;4300;3.2
1991;6679;Rivadavia;14996;7630;7366;;;103.6;3940;3.8
1991;6686;Rojas;22690;11250;11440;;;98.3;2050;11.1
1991;6693;Roque Pérez;9639;4824;4815;;;100.2;1600;6
1991;6700;Saavedra;19407;9644;9763;;;98.8;3500;5.5
1991;6707;Saladillo;26200;12785;13415;;;95.3;2736;9.6
1991;6714;Salto;27878;14020;13858;;;101.2;1630;17.1
1991;6721;Salliqueló;8445;4253;4192;;;101.5;797;10.6
1991;6728;San Andrés de Giles;18302;9255;9047;;;102.3;1135;16.1
1991;6735;San Antonio de Areco;18848;9255;9593;;;96.5;852;22.1
1991;6742;San Cayetano;8687;4392;4295;;;102.3;3004;2.9
1991;6763;San Nicolás;132918;65975;66943;;;98.6;680;195.5
1991;6770;San Pedro;48851;24529;24322;;;100.9;1322;37
1991;6778;San Vicente;74866;37327;37539;;;99.4;740;101.2
1991;6784;Suipacha;8038;4069;3969;;;102.5;950;8.5
1991;6791;Tandil;101228;49246;51982;;;94.7;4935;20.5
1991;6798;Tapalqué;8111;4069;4042;;;100.7;4172;1.9
1991;6812;Tordillo;1444;777;667;;;116.5;1330;1.1
1991;6819;Tornquist;10742;5587;5155;;;108.4;4183;2.6
1991;6826;Trenque Lauquen;35289;17627;17662;;;99.8;5500;6.4
1991;6833;Tres Arroyos;56679;27411;29268;;;93.7;5861;9.7
1991;6847;Tres Lomas;7596;3863;3733;;;103.5;1270;6
1991;6854;25 De Mayo;34252;16870;17382;;;97.1;4795;7.1
1991;6868;Villa Gesell;16012;7960;8052;;;98.9;285;56.2
1991;6875;Villarino;24427;12876;11551;;;111.5;11400;2.1
1991;6882;Zárate;91600;45643;45957;;;99.3;1202;76.2
