nam,cod_depto,anio,pob,var,muj,vivpart,vivtotal,sup,ind_masc,dens_pob,TMI,TGF,TBN,TBM,TCV,Mat1ria,Pred_LR,MAPE_LR
Almirante Brown,06028,1991,450698.0,222042.0,228656.0,,,157.87,97.1,2854.87,24.2,2.6,18.4,7.9,10.5,1752994.0,0,
Almirante Brown,06028,2010,552902.0,270247.0,282655.0,156218.0,78.0,157.87,95.6,3502.26,12.0,2.5,18.9,8.4,10.5,1667278.0,0,
Almirante Brown,06028,2022,585852.0,281842.0,301779.0,184403.0,60.0,157.87,93.4,3710.98,7.9,1.89,9.7,8.8,0.899,1767473.0,602696,2.88
Almirante Brown,06028,2001,515556.0,252454.0,263102.0,143543.0,88.0,157.87,96.0,3265.70,15.0,2.3,16.9,8.2,8.7,1658221.0,0,
Avellaneda,06035,2001,328980.0,155450.0,173530.0,117200.0,59.0,68.54,89.6,4799.82,15.0,2.3,16.9,8.2,8.7,1658221.0,0,
Avellaneda,06035,1991,344991.0,164243.0,180748.0,,,68.54,90.9,5033.43,24.2,2.6,18.4,7.9,10.5,1752994.0,0,
Avellaneda,06035,2010,342677.0,162264.0,180413.0,121307.0,68.0,68.54,89.9,4999.66,12.0,2.5,18.9,8.4,10.5,1667278.0,0,
Avellaneda,06035,2022,370939.0,174572.0,194911.0,144988.0,64.0,68.54,89.6,5412.01,7.9,1.89,9.7,8.8,0.899,1767473.0,360939,2.7
Berazategui,06091,2010,324244.0,158608.0,165636.0,96029.0,37.0,268.91,95.8,1205.77,12.0,2.5,18.9,8.4,10.5,1667278.0,0,
Berazategui,06091,2022,360582.0,173892.0,186255.0,117699.0,37.0,268.91,93.4,1340.90,7.9,1.89,9.7,8.8,0.899,1767473.0,372685,3.36
Berazategui,06091,2001,287913.0,141163.0,146750.0,81511.0,38.0,268.91,96.2,1070.67,15.0,2.3,16.9,8.2,8.7,1658221.0,0,
Berazategui,06091,1991,244929.0,120870.0,124059.0,,,268.91,97.4,910.82,24.2,2.6,18.4,7.9,10.5,1752994.0,0,
Esteban Echeverría,06260,2022,339030.0,163974.0,174468.0,109969.0,40.0,148.12,94.0,2288.89,7.9,1.89,9.7,8.8,0.899,1767473.0,376939,11.18
Esteban Echeverría,06260,2010,300959.0,147980.0,152979.0,88164.0,26.0,148.12,96.7,2031.86,12.0,2.5,18.9,8.4,10.5,1667278.0,0,
Esteban Echeverría,06260,2001,243974.0,120110.0,123864.0,70535.0,26.0,148.12,97.0,1647.14,15.0,2.3,16.9,8.2,8.7,1658221.0,0,
Esteban Echeverría,06260,1991,275793.0,136784.0,139009.0,,,148.12,98.4,1861.96,24.2,2.6,18.4,7.9,10.5,1752994.0,0,
Ezeiza,06270,1991,,,,,,291.00,,,24.2,2.6,18.4,7.9,10.5,1752994.0,0,
Ezeiza,06270,2001,118807.0,59337.0,59470.0,35207.0,116.0,291.00,99.8,408.27,15.0,2.3,16.9,8.2,8.7,1658221.0,0,
Ezeiza,06270,2010,163722.0,81902.0,81820.0,49210.0,26.0,291.00,100.1,562.62,12.0,2.5,18.9,8.4,10.5,1667278.0,0,
Ezeiza,06270,2022,203283.0,97766.0,102703.0,65987.0,18.0,291.00,95.2,698.57,7.9,1.89,9.7,8.8,0.899,1767473.0,223608,10.0
Florencio Varela,06274,1991,254997.0,127717.0,127280.0,,,231.51,100.3,1101.45,24.2,2.6,18.4,7.9,10.5,1752994.0,0,
Florencio Varela,06274,2022,497818.0,239305.0,250192.0,145546.0,26.0,231.51,95.6,2150.31,7.9,1.89,9.7,8.8,0.899,1767473.0,528718,6.21
Florencio Varela,06274,2010,426005.0,212909.0,213096.0,113997.0,51.0,231.51,99.9,1840.11,12.0,2.5,18.9,8.4,10.5,1667278.0,0,
Florencio Varela,06274,2001,348970.0,174590.0,174380.0,91293.0,53.0,231.51,100.1,1507.36,15.0,2.3,16.9,8.2,8.7,1658221.0,0,
General San Martín,06371,2022,450335.0,213300.0,233690.0,175969.0,113.0,68.80,91.3,6545.57,7.9,1.89,9.7,8.8,0.899,1767473.0,428981,4.74
General San Martín,06371,2010,414196.0,198094.0,216102.0,138030.0,80.0,68.80,91.7,6020.29,12.0,2.5,18.9,8.4,10.5,1667278.0,0,
General San Martín,06371,2001,403107.0,193084.0,210023.0,133870.0,114.0,68.80,91.9,5859.11,15.0,2.3,16.9,8.2,8.7,1658221.0,0,
General San Martín,06371,1991,406809.0,196417.0,210392.0,,,68.80,93.4,5912.92,24.2,2.6,18.4,7.9,10.5,1752994.0,0,
Hurlingham,06408,2022,187122.0,89551.0,97118.0,66033.0,19.0,43.57,92.2,4294.74,7.9,1.89,9.7,8.8,0.899,1767473.0,193235,3.27
Hurlingham,06408,1991,,,,,,43.57,,,24.2,2.6,18.4,7.9,10.5,1752994.0,0,
Hurlingham,06408,2010,181241.0,87278.0,93963.0,55446.0,33.0,43.57,92.9,4159.77,12.0,2.5,18.9,8.4,10.5,1667278.0,0,
Hurlingham,06408,2001,172245.0,83383.0,88862.0,51079.0,22.0,43.57,93.8,3953.29,15.0,2.3,16.9,8.2,8.7,1658221.0,0,
Ituzaingó,06410,2022,179788.0,84855.0,92708.0,64175.0,37.0,46.38,91.5,3876.41,7.9,1.89,9.7,8.8,0.899,1767473.0,180761,0.54
Ituzaingó,06410,2010,167824.0,81188.0,86636.0,54370.0,54.0,46.38,93.7,3618.46,12.0,2.5,18.9,8.4,10.5,1667278.0,0,
Ituzaingó,06410,2001,158121.0,76254.0,81867.0,49232.0,44.0,46.38,93.1,3409.25,15.0,2.3,16.9,8.2,8.7,1658221.0,0,
Ituzaingó,06410,1991,,,,,,46.38,,,24.2,2.6,18.4,7.9,10.5,1752994.0,0,
José C. Paz,06412,2022,323918.0,157631.0,165831.0,97098.0,27.0,61.03,95.1,5307.52,7.9,1.89,9.7,8.8,0.899,1767473.0,313678,3.16
José C. Paz,06412,1991,,,,,,61.03,,,24.2,2.6,18.4,7.9,10.5,1752994.0,0,
José C. Paz,06412,2010,265981.0,131291.0,134690.0,72243.0,27.0,61.03,97.5,4358.20,12.0,2.5,18.9,8.4,10.5,1667278.0,0,
José C. Paz,06412,2001,230208.0,114134.0,116074.0,59674.0,47.0,61.03,98.3,3772.05,15.0,2.3,16.9,8.2,8.7,1658221.0,0,
La Matanza,06427,1991,1121298.0,551408.0,569890.0,,,399.51,96.8,2806.68,24.2,2.6,18.4,7.9,10.5,1752994.0,0,
La Matanza,06427,2001,1255288.0,612967.0,642321.0,361099.0,158.0,399.51,95.4,3142.07,15.0,2.3,16.9,8.2,8.7,1658221.0,0,
La Matanza,06427,2010,1775816.0,866690.0,909126.0,447371.0,149.0,399.51,95.3,4444.99,12.0,2.5,18.9,8.4,10.5,1667278.0,0,
La Matanza,06427,2022,1837774.0,883023.0,950847.0,577276.0,126.0,399.51,92.9,4600.07,7.9,1.89,9.7,8.8,0.899,1767473.0,2469853,34.39
Lanús,06434,2022,462051.0,218238.0,242328.0,179531.0,71.0,61.24,90.1,7544.92,7.9,1.89,9.7,8.8,0.899,1767473.0,467504,1.18
Lanús,06434,2010,459263.0,218873.0,240390.0,157887.0,84.0,61.24,91.0,7499.40,12.0,2.5,18.9,8.4,10.5,1667278.0,0,
Lanús,06434,1991,468561.0,224537.0,244024.0,,,61.24,92.0,7651.22,24.2,2.6,18.4,7.9,10.5,1752994.0,0,
Lanús,06434,2001,453082.0,215215.0,237867.0,152624.0,92.0,61.24,90.5,7398.47,15.0,2.3,16.9,8.2,8.7,1658221.0,0,
Lomas de Zamora,06490,2022,694330.0,332115.0,359231.0,235524.0,13.0,108.27,92.5,6412.95,7.9,1.89,9.7,8.8,0.899,1767473.0,649524,6.45
Lomas de Zamora,06490,2010,616279.0,297042.0,319237.0,188216.0,108.0,108.27,93.0,5692.06,12.0,2.5,18.9,8.4,10.5,1667278.0,0,
Lomas de Zamora,06490,2001,591345.0,285599.0,305746.0,178916.0,126.0,108.27,93.4,5461.76,15.0,2.3,16.9,8.2,8.7,1658221.0,0,
Lomas de Zamora,06490,1991,574330.0,278877.0,295453.0,,,108.27,94.4,5304.61,24.2,2.6,18.4,7.9,10.5,1752994.0,0,
Malvinas Argentinas,06515,1991,,,,,,76.46,,,24.2,2.6,18.4,7.9,10.5,1752994.0,0,
Malvinas Argentinas,06515,2001,290691.0,143722.0,146969.0,74647.0,31.0,76.46,97.8,3801.87,15.0,2.3,16.9,8.2,8.7,1658221.0,0,
Malvinas Argentinas,06515,2010,322375.0,159205.0,163170.0,87292.0,37.0,76.46,97.6,4216.26,12.0,2.5,18.9,8.4,10.5,1667278.0,0,
Malvinas Argentinas,06515,2022,351788.0,170055.0,180317.0,102499.0,35.0,76.46,94.3,4600.94,7.9,1.89,9.7,8.8,0.899,1767473.0,364620,3.65
Merlo,06539,1991,390858.0,193521.0,197337.0,,,212.25,98.1,1841.50,24.2,2.6,18.4,7.9,10.5,1752994.0,0,
Merlo,06539,2001,469985.0,231543.0,238442.0,129617.0,72.0,212.25,97.1,2214.30,15.0,2.3,16.9,8.2,8.7,1658221.0,0,
Merlo,06539,2022,580806.0,281098.0,298729.0,180037.0,49.0,212.25,94.1,2736.42,7.9,1.89,9.7,8.8,0.899,1767473.0,606506,4.42
Merlo,06539,2010,528494.0,259417.0,269077.0,147230.0,59.0,212.25,96.4,2489.96,12.0,2.5,18.9,8.4,10.5,1667278.0,0,
Moreno,06560,1991,287715.0,143364.0,144351.0,,,226.81,99.3,1268.53,24.2,2.6,18.4,7.9,10.5,1752994.0,0,
Moreno,06560,2001,380503.0,188392.0,192111.0,108521.0,58.0,226.81,98.1,1677.63,15.0,2.3,16.9,8.2,8.7,1658221.0,0,
Moreno,06560,2010,452505.0,224291.0,228214.0,129573.0,52.0,226.81,98.3,1995.08,12.0,2.5,18.9,8.4,10.5,1667278.0,0,
Moreno,06560,2022,574374.0,280118.0,293251.0,185037.0,69.0,226.81,95.5,2532.40,7.9,1.89,9.7,8.8,0.899,1767473.0,548507,4.5
Morón,06568,1991,643553.0,311351.0,332202.0,,,67.10,93.7,9590.95,24.2,2.6,18.4,7.9,10.5,1752994.0,0,
Morón,06568,2010,321109.0,153129.0,167980.0,117321.0,75.0,67.10,91.2,4785.53,12.0,2.5,18.9,8.4,10.5,1667278.0,0,
Morón,06568,2001,309380.0,147030.0,162350.0,108458.0,110.0,67.10,90.6,4610.73,15.0,2.3,16.9,8.2,8.7,1658221.0,0,
Morón,06568,2022,334178.0,156891.0,175565.0,141866.0,74.0,67.10,89.4,4980.30,7.9,1.89,9.7,8.8,0.899,1767473.0,336747,0.77
Quilmes,06658,1991,511234.0,248766.0,262468.0,,,111.77,94.8,4573.98,24.2,2.6,18.4,7.9,10.5,1752994.0,0,
Quilmes,06658,2001,518788.0,250577.0,268211.0,159329.0,102.0,111.77,93.4,4641.57,15.0,2.3,16.9,8.2,8.7,1658221.0,0,
Quilmes,06658,2010,582943.0,281928.0,301015.0,182243.0,97.0,111.77,93.7,5215.56,12.0,2.5,18.9,8.4,10.5,1667278.0,0,
Quilmes,06658,2022,636026.0,304299.0,329672.0,221757.0,94.0,111.77,92.3,5690.49,7.9,1.89,9.7,8.8,0.899,1767473.0,668483,5.1
San Fernando,06749,2022,172524.0,81719.0,89879.0,62326.0,74.0,1307.01,90.9,132.00,7.9,1.89,9.7,8.8,0.899,1767473.0,179385,3.9800000000000004
San Fernando,06749,2010,163240.0,78645.0,84595.0,51926.0,66.0,1307.01,93.0,124.90,12.0,2.5,18.9,8.4,10.5,1667278.0,0,
San Fernando,06749,2001,151131.0,72787.0,78344.0,46530.0,54.0,1307.01,92.9,115.63,15.0,2.3,16.9,8.2,8.7,1658221.0,0,
San Fernando,06749,1991,144763.0,70415.0,74348.0,,,1307.01,94.7,110.76,24.2,2.6,18.4,7.9,10.5,1752994.0,0,
San Isidro,06756,2001,291505.0,137430.0,154075.0,102120.0,84.0,63.70,89.2,4576.22,15.0,2.3,16.9,8.2,8.7,1658221.0,0,
San Isidro,06756,2022,298777.0,139818.0,157584.0,121246.0,78.0,63.70,88.7,4690.38,7.9,1.89,9.7,8.8,0.899,1767473.0,294708,1.3599999999999999
San Isidro,06756,2010,292878.0,138407.0,154471.0,107619.0,95.0,63.70,89.6,4597.77,12.0,2.5,18.9,8.4,10.5,1667278.0,0,
San Isidro,06756,1991,299023.0,142342.0,156681.0,,,63.70,90.8,4694.24,24.2,2.6,18.4,7.9,10.5,1752994.0,0,
San Miguel,06760,2022,326215.0,157244.0,168569.0,107723.0,50.0,100.72,93.3,3238.83,7.9,1.89,9.7,8.8,0.899,1767473.0,306995,5.89
San Miguel,06760,2010,276190.0,134584.0,141606.0,82892.0,57.0,100.72,95.0,2742.16,12.0,2.5,18.9,8.4,10.5,1667278.0,0,
San Miguel,06760,2001,253086.0,123400.0,129686.0,71300.0,84.0,100.72,95.2,2512.77,15.0,2.3,16.9,8.2,8.7,1658221.0,0,
San Miguel,06760,1991,,,,,,100.72,,,24.2,2.6,18.4,7.9,10.5,1752994.0,0,
Tigre,06805,2022,447785.0,215056.0,228822.0,152750.0,54.0,525.28,94.0,852.47,7.9,1.89,9.7,8.8,0.899,1767473.0,476591,6.43
Tigre,06805,2010,376381.0,184774.0,191607.0,118428.0,54.0,525.28,96.4,716.53,12.0,2.5,18.9,8.4,10.5,1667278.0,0,
Tigre,06805,2001,301223.0,148057.0,153166.0,87709.0,42.0,525.28,96.7,573.45,15.0,2.3,16.9,8.2,8.7,1658221.0,0,
Tigre,06805,1991,257922.0,127987.0,129935.0,,,525.28,98.5,491.02,24.2,2.6,18.4,7.9,10.5,1752994.0,0,
Tres de Febrero,06840,2022,366377.0,173299.0,191265.0,149029.0,67.0,55.29,90.6,6626.46,7.9,1.89,9.7,8.8,0.899,1767473.0,344876,5.87
Tres de Febrero,06840,2010,340071.0,161806.0,178265.0,119920.0,88.0,55.29,90.8,6150.68,12.0,2.5,18.9,8.4,10.5,1667278.0,0,
Tres de Febrero,06840,2001,336467.0,159781.0,176686.0,115040.0,92.0,55.29,90.4,6085.49,15.0,2.3,16.9,8.2,8.7,1658221.0,0,
Tres de Febrero,06840,1991,349376.0,167417.0,181959.0,,,55.29,92.0,6318.97,24.2,2.6,18.4,7.9,10.5,1752994.0,0,
Vicente López,06861,2001,274082.0,127238.0,146844.0,108947.0,91.0,41.93,86.6,6536.66,15.0,2.3,16.9,8.2,8.7,1658221.0,0,
Vicente López,06861,2022,283510.0,131723.0,149903.0,126139.0,88.0,41.93,87.9,6761.51,7.9,1.89,9.7,8.8,0.899,1767473.0,263204,7.16
Vicente López,06861,1991,289505.0,135426.0,154079.0,,,41.93,87.9,6904.48,24.2,2.6,18.4,7.9,10.5,1752994.0,0,
Vicente López,06861,2010,269420.0,125792.0,143628.0,114747.0,72.0,41.93,87.6,6425.47,12.0,2.5,18.9,8.4,10.5,1667278.0,0,
