CODIGO;Año;Partido;Poblacion;Varones;Mujeres
6028;2010;Almirante Brown;557025;273352;283673
6035;2010;Avellaneda;345752;164391;181361
6091;2010;Berazategui;326109;160142;165967
6260;2010;Esteban Echeverría;300785;148426;152359
6270;2010;Ezeiza;163287;81955;81332
6274;2010;Florencio Varela;426738;214021;212717
6371;2010;General San Martín;418017;200761;217256
6408;2010;Hurlingham;182604;88302;94302
6410;2010;Ituzaingó;169038;82091;86947
6412;2010;José C. Paz;267275;132440;134835
6427;2010;La Matanza;1777530;870571;906959
6434;2010;Lanús;463555;221814;241741
6490;2010;Lomas de Zamora;621440;300766;320674
6515;2010;Malvinas Argentinas;324358;160801;163557
6539;2010;Merlo;531609;261973;269636
6560;2010;Moreno;454416;226058;228358
6568;2010;Morón;324279;155272;169007
6658;2010;Quilmes;586462;284721;301741
6749;2010;San Fernando;164452;79545;84907
6756;2010;San Isidro;295894;140417;155477
6760;2010;San Miguel;278019;136006;142013
6861;2010;Vicente López;376515;185483;191032
6840;2010;Tres de Febrero;343338;164035;179303
6861;2010;Vicente López;272389;127707;144682
6028;2011;Almirante Brown;561349;275570;285779
6035;2011;Avellaneda;346847;164946;181901
6091;2011;Berazategui;330277;162219;168058
6260;2011;Esteban Echeverría;308861;152560;156301
6270;2011;Ezeiza;169284;85115;84169
6274;2011;Florencio Varela;436751;219251;217500
6371;2011;General San Martín;418790;201173;217617
6408;2011;Hurlingham;183764;88814;94950
6410;2011;Ituzaingó;170292;82741;87551
6412;2011;José C. Paz;271557;134582;136975
6427;2011;La Matanza;1830526;897247;933279
6434;2011;Lanús;463478;221795;241683
6490;2011;Lomas de Zamora;624289;302325;321964
6515;2011;Malvinas Argentinas;328087;162688;165399
6539;2011;Merlo;539009;265753;273256
6560;2011;Moreno;463151;230454;232697
6568;2011;Morón;323680;154960;168720
6658;2011;Quilmes;594412;288865;305547
6749;2011;San Fernando;165554;80088;85466
6756;2011;San Isidro;295428;140178;155250
6760;2011;San Miguel;280822;137346;143476
6861;2011;Vicente López;386131;190425;195706
6840;2011;Tres de Febrero;343441;164081;179360
6861;2011;Vicente López;271677;127508;144169
6028;2012;Almirante Brown;565509;277794;287715
6035;2012;Avellaneda;347924;165485;182439
6091;2012;Berazategui;334458;164329;170129
6260;2012;Esteban Echeverría;316567;156364;160203
6270;2012;Ezeiza;175333;88251;87082
6274;2012;Florencio Varela;446287;224346;221941
6371;2012;General San Martín;419531;201555;217976
6408;2012;Hurlingham;184914;89323;95591
6410;2012;Ituzaingó;171536;83386;88150
6412;2012;José C. Paz;275801;136707;139094
6427;2012;La Matanza;1883251;923909;959342
6434;2012;Lanús;463401;221776;241625
6490;2012;Lomas de Zamora;627150;303908;323242
6515;2012;Malvinas Argentinas;331834;164610;167224
6539;2012;Merlo;546383;269488;276895
6560;2012;Moreno;472015;234916;237099
6568;2012;Morón;323076;154650;168426
6658;2012;Quilmes;602436;293045;309391
6749;2012;San Fernando;166646;80626;86020
6756;2012;San Isidro;294992;139964;155028
6760;2012;San Miguel;283603;138674;144929
6861;2012;Vicente López;395623;195232;200391
6840;2012;Tres de Febrero;343537;164129;179408
6861;2012;Vicente López;271078;127315;143763
6028;2013;Almirante Brown;569911;279980;289931
6035;2013;Avellaneda;348999;166035;182964
6091;2013;Berazategui;338647;166469;172178
6260;2013;Esteban Echeverría;323806;160231;163575
6270;2013;Ezeiza;181122;91457;89665
6274;2013;Florencio Varela;455672;229340;226332
6371;2013;General San Martín;420271;201937;218334
6408;2013;Hurlingham;186052;89826;96226
6410;2013;Ituzaingó;172766;84024;88742
6412;2013;José C. Paz;279999;138810;141189
6427;2013;La Matanza;1935394;950091;985303
6434;2013;Lanús;463325;221757;241568
6490;2013;Lomas de Zamora;630029;305502;324527
6515;2013;Malvinas Argentinas;335491;166463;169028
6539;2013;Merlo;554007;273460;280547
6560;2013;Moreno;481041;239434;241607
6568;2013;Morón;322489;154343;168146
6658;2013;Quilmes;610259;296980;313279
6749;2013;San Fernando;167726;81159;86567
6756;2013;San Isidro;294597;139785;154812
6760;2013;San Miguel;286386;139990;146396
6861;2013;Vicente López;404649;199794;204855
6840;2013;Tres de Febrero;343617;164179;179438
6861;2013;Vicente López;270598;127130;143468
6028;2014;Almirante Brown;574263;282143;292120
6035;2014;Avellaneda;350080;166572;183508
6091;2014;Berazategui;342682;168483;174199
6260;2014;Esteban Echeverría;331031;163954;167077
6270;2014;Ezeiza;186842;94528;92314
6274;2014;Florencio Varela;464939;234274;230665
6371;2014;General San Martín;421009;202320;218689
6408;2014;Hurlingham;187174;90322;96852
6410;2014;Ituzaingó;173981;84654;89327
6412;2014;José C. Paz;284145;140888;143257
6427;2014;La Matanza;1986784;976002;1010782
6434;2014;Lanús;463251;221739;241512
6490;2014;Lomas de Zamora;632842;307065;325777
6515;2014;Malvinas Argentinas;339152;168343;170809
6539;2014;Merlo;561566;277330;284236
6560;2014;Moreno;489912;244050;245862
6568;2014;Morón;321920;154040;167880
6658;2014;Quilmes;618106;300934;317172
6749;2014;San Fernando;168793;81686;87107
6756;2014;San Isidro;294215;139612;154603
6760;2014;San Miguel;289135;141289;147846
6861;2014;Vicente López;413442;204303;209139
6840;2014;Tres de Febrero;343701;164231;179470
6861;2014;Vicente López;270139;126954;143185
6028;2015;Almirante Brown;578513;284281;294232
6035;2015;Avellaneda;351165;167107;184058
6091;2015;Berazategui;346658;170469;176189
6260;2015;Esteban Echeverría;337890;167536;170354
6270;2015;Ezeiza;192430;97456;94974
6274;2015;Florencio Varela;473950;238940;235010
6371;2015;General San Martín;421725;202683;219042
6408;2015;Hurlingham;188280;90812;97468
6410;2015;Ituzaingó;175177;85275;89902
6412;2015;José C. Paz;288228;142935;145293
6427;2015;La Matanza;2037428;1001600;1035828
6434;2015;Lanús;463178;221721;241457
6490;2015;Lomas de Zamora;635593;308584;327009
6515;2015;Malvinas Argentinas;342798;170236;172562
6539;2015;Merlo;569165;281268;287897
6560;2015;Moreno;498713;248654;250059
6568;2015;Morón;321351;153742;167609
6658;2015;Quilmes;626006;304939;321067
6749;2015;San Fernando;169844;82205;87639
6756;2015;San Isidro;293848;139447;154401
6760;2015;San Miguel;291845;142569;149276
6861;2015;Vicente López;422108;208748;213360
6840;2015;Tres de Febrero;343792;164287;179505
6861;2015;Vicente López;269705;126790;142915
6028;2016;Almirante Brown;582541;286295;296246
6035;2016;Avellaneda;352246;167630;184616
6091;2016;Berazategui;350578;172427;178151
6260;2016;Esteban Echeverría;344795;171112;173683
6270;2016;Ezeiza;197895;100246;97649
6274;2016;Florencio Varela;482757;243541;239216
6371;2016;General San Martín;422440;203047;219393
6408;2016;Hurlingham;189371;91295;98076
6410;2016;Ituzaingó;176356;85887;90469
6412;2016;José C. Paz;292304;145004;147300
6427;2016;La Matanza;2087359;1026815;1060544
6434;2016;Lanús;463106;221703;241403
6490;2016;Lomas de Zamora;638287;310062;328225
6515;2016;Malvinas Argentinas;346406;172115;174291
6539;2016;Merlo;576737;285213;291524
6560;2016;Moreno;507403;253201;254202
6568;2016;Morón;320781;153448;167333
6658;2016;Quilmes;633913;308948;324965
6749;2016;San Fernando;170880;82717;88163
6756;2016;San Isidro;293496;139289;154207
6760;2016;San Miguel;294370;143832;150538
6861;2016;Vicente López;430660;213136;217524
6840;2016;Tres de Febrero;343877;164335;179542
6861;2016;Vicente López;269294;126636;142658
6028;2017;Almirante Brown;586564;288288;298276
6035;2017;Avellaneda;353273;168131;185142
6091;2017;Berazategui;354447;174360;180087
6260;2017;Esteban Echeverría;351564;174693;176871
6270;2017;Ezeiza;203292;103001;100291
6274;2017;Florencio Varela;491652;248185;243467
6371;2017;General San Martín;423153;203411;219742
6408;2017;Hurlingham;190447;91772;98675
6410;2017;Ituzaingó;177521;86492;91029
6412;2017;José C. Paz;296279;146998;149281
6427;2017;La Matanza;2136695;1051695;1085000
6434;2017;Lanús;463034;221685;241349
6490;2017;Lomas de Zamora;640916;311459;329457
6515;2017;Malvinas Argentinas;349867;173871;175996
6539;2017;Merlo;584267;289219;295048
6560;2017;Moreno;516093;257797;258296
6568;2017;Morón;320218;153157;167061
6658;2017;Quilmes;641742;312969;328773
6749;2017;San Fernando;171902;83222;88680
6756;2017;San Isidro;293157;139138;154019
6760;2017;San Miguel;296861;145078;151783
6861;2017;Vicente López;438906;217270;221636
6840;2017;Tres de Febrero;343917;164376;179541
6861;2017;Vicente López;268897;126492;142405
6028;2018;Almirante Brown;590418;290157;300261
6035;2018;Avellaneda;354314;168639;185675
6091;2018;Berazategui;358262;176266;181996
6260;2018;Esteban Echeverría;358342;178228;180114
6270;2018;Ezeiza;208615;105717;102898
6274;2018;Florencio Varela;500225;252666;247559
6371;2018;General San Martín;423877;203776;220101
6408;2018;Hurlingham;191508;92242;99266
6410;2018;Ituzaingó;178670;87089;91581
6412;2018;José C. Paz;300035;148801;151234
6427;2018;La Matanza;2185597;1076471;1109126
6434;2018;Lanús;462964;221668;241296
6490;2018;Lomas de Zamora;643437;312744;330693
6515;2018;Malvinas Argentinas;353281;175603;177678
6539;2018;Merlo;591763;293234;298529
6560;2018;Moreno;524675;262437;262238
6568;2018;Morón;319674;152871;166803
6658;2018;Quilmes;649480;316943;332537
6749;2018;San Fernando;172911;83720;89191
6756;2018;San Isidro;292831;138993;153838
6760;2018;San Miguel;299319;146308;153011
6861;2018;Vicente López;447040;221348;225692
6840;2018;Tres de Febrero;343961;164409;179552
6861;2018;Vicente López;268509;126358;142151
6028;2019;Almirante Brown;594270;292051;302219
6035;2019;Avellaneda;355352;169146;186206
6091;2019;Berazategui;362021;178144;183877
6260;2019;Esteban Echeverría;364641;181394;183247
6270;2019;Ezeiza;213864;108394;105470
6274;2019;Florencio Varela;508671;257080;251591
6371;2019;General San Martín;424567;204121;220446
6408;2019;Hurlingham;192554;92705;99849
6410;2019;Ituzaingó;179801;87676;92125
6412;2019;José C. Paz;303896;150738;153158
6427;2019;La Matanza;2233860;1100879;1132981
6434;2019;Lanús;462895;221651;241244
6490;2019;Lomas de Zamora;645880;313967;331913
6515;2019;Malvinas Argentinas;356643;177309;179334
6539;2019;Merlo;599119;297205;301914
6560;2019;Moreno;533292;267117;266175
6568;2019;Morón;319138;152588;166550
6658;2019;Quilmes;657123;320869;336254
6749;2019;San Fernando;173904;84211;89693
6756;2019;San Isidro;292520;138856;153664
6760;2019;San Miguel;301740;147519;154221
6861;2019;Vicente López;455056;225364;229692
6840;2019;Tres de Febrero;344011;164445;179566
6861;2019;Vicente López;268064;126235;141829
6028;2020;Almirante Brown;597969;293919;304050
6035;2020;Avellaneda;356392;169649;186743
6091;2020;Berazategui;365771;180043;185728
6260;2020;Esteban Echeverría;370900;184606;186294
6270;2020;Ezeiza;219031;111027;108004
6274;2020;Florencio Varela;517082;261523;255559
6371;2020;General San Martín;425265;204457;220808
6408;2020;Hurlingham;193583;93161;100422
6410;2020;Ituzaingó;180914;88254;92660
6412;2020;José C. Paz;307443;152392;155051
6427;2020;La Matanza;2281194;1124826;1156368
6434;2020;Lanús;462827;221634;241193
6490;2020;Lomas de Zamora;648312;315197;333115
6515;2020;Malvinas Argentinas;359953;178988;180965
6539;2020;Merlo;606413;301160;305253
6560;2020;Moreno;541691;271635;270056
6568;2020;Morón;318632;152311;166321
6658;2020;Quilmes;664783;324796;339987
6749;2020;San Fernando;174883;84695;90188
6756;2020;San Isidro;292224;138726;153498
6760;2020;San Miguel;304122;148711;155411
6861;2020;Vicente López;462998;229317;233681
6840;2020;Tres de Febrero;344067;164484;179583
6861;2020;Vicente López;267655;126124;141531
6028;2021;Almirante Brown;601618;295763;305855
6035;2021;Avellaneda;357440;170161;187279
6091;2021;Berazategui;369294;181743;187551
6260;2021;Esteban Echeverría;377237;187841;189396
6270;2021;Ezeiza;224228;113724;110504
6274;2021;Florencio Varela;525270;265802;259468
6371;2021;General San Martín;425911;204763;221148
6408;2021;Hurlingham;194597;93610;100987
6410;2021;Ituzaingó;182011;88824;93187
6412;2021;José C. Paz;311187;154270;156917
6427;2021;La Matanza;2327874;1148433;1179441
6434;2021;Lanús;462760;221618;241142
6490;2021;Lomas de Zamora;650678;316405;334273
6515;2021;Malvinas Argentinas;363263;180642;182621
6539;2021;Merlo;613509;304941;308568
6560;2021;Moreno;549930;276045;273885
6568;2021;Morón;318104;152037;166067
6658;2021;Quilmes;672199;328627;343572
6749;2021;San Fernando;175845;85170;90675
6756;2021;San Isidro;291963;138614;153349
6760;2021;San Miguel;306469;149885;156584
6861;2021;Vicente López;470776;233211;237565
6840;2021;Tres de Febrero;344117;164536;179581
6861;2021;Vicente López;267257;126023;141234
6028;2022;Almirante Brown;605271;297635;307636
6035;2022;Avellaneda;358512;170680;187832
6091;2022;Berazategui;372889;183539;189350
6260;2022;Esteban Echeverría;383538;191081;192457
6270;2022;Ezeiza;229276;116404;112872
6274;2022;Florencio Varela;533446;270022;263424
6371;2022;General San Martín;426556;205070;221486
6408;2022;Hurlingham;195596;94052;101544
6410;2022;Ituzaingó;182993;89286;93707
6412;2022;José C. Paz;314878;156121;158757
6427;2022;La Matanza;2374149;1171961;1202188
6434;2022;Lanús;462693;221601;241092
6490;2022;Lomas de Zamora;652937;317541;335396
6515;2022;Malvinas Argentinas;366479;182274;184205
6539;2022;Merlo;620307;308433;311874
6560;2022;Moreno;558068;280402;277666
6568;2022;Morón;317584;151767;165817
6658;2022;Quilmes;679375;332216;347159
6749;2022;San Fernando;176795;85640;91155
6756;2022;San Isidro;291704;138548;153156
6760;2022;San Miguel;308784;151043;157741
6861;2022;Vicente López;478432;237051;241381
6840;2022;Tres de Febrero;344172;164590;179582
6861;2022;Vicente López;266880;125932;140948
6028;2023;Almirante Brown;608878;299484;309394
6035;2023;Avellaneda;359550;171177;188373
6091;2023;Berazategui;376431;185308;191123
6260;2023;Esteban Echeverría;389731;194356;195375
6270;2023;Ezeiza;234233;119125;115108
6274;2023;Florencio Varela;541606;274181;267425
6371;2023;General San Martín;427191;205368;221823
6408;2023;Hurlingham;196582;94489;102093
6410;2023;Ituzaingó;183959;89739;94220
6412;2023;José C. Paz;318364;157794;160570
6427;2023;La Matanza;2419872;1195219;1224653
6434;2023;Lanús;462628;221585;241043
6490;2023;Lomas de Zamora;655122;318567;336555
6515;2023;Malvinas Argentinas;369648;183881;185767
6539;2023;Merlo;626975;311886;315089
6560;2023;Moreno;566103;284705;281398
6568;2023;Morón;317073;151501;165572
6658;2023;Quilmes;686466;335762;350704
6749;2023;San Fernando;177731;86102;91629
6756;2023;San Isidro;291448;138489;152959
6760;2023;San Miguel;311065;152184;158881
6861;2023;Vicente López;485999;240836;245163
6840;2023;Tres de Febrero;344221;164636;179585
6861;2023;Vicente López;266538;125851;140687
6028;2024;Almirante Brown;612438;301310;311128
6035;2024;Avellaneda;360583;171672;188911
6091;2024;Berazategui;379921;187051;192870
6260;2024;Esteban Echeverría;395856;197605;198251
6270;2024;Ezeiza;239220;121859;117361
6274;2024;Florencio Varela;549812;278342;271470
6371;2024;General San Martín;427783;205656;222127
6408;2024;Hurlingham;197553;94919;102634
6410;2024;Ituzaingó;184910;90185;94725
6412;2024;José C. Paz;321710;159542;162168
6427;2024;La Matanza;2464843;1218121;1246722
6434;2024;Lanús;462564;221569;240995
6490;2024;Lomas de Zamora;657218;319540;337678
6515;2024;Malvinas Argentinas;372771;185465;187306
6539;2024;Merlo;633540;315247;318293
6560;2024;Moreno;574034;288953;285081
6568;2024;Morón;316559;151239;165320
6658;2024;Quilmes;693277;339064;354213
6749;2024;San Fernando;178654;86558;92096
6756;2024;San Isidro;291276;138447;152829
6760;2024;San Miguel;313312;153308;160004
6861;2024;Vicente López;493467;244564;248903
6840;2024;Tres de Febrero;344296;164676;179620
6861;2024;Vicente López;266203;125780;140423
6028;2025;Almirante Brown;616000;303113;312887
6035;2025;Avellaneda;361532;172165;189367
6091;2025;Berazategui;383458;188818;194640
6260;2025;Esteban Echeverría;402021;200857;201164
6270;2025;Ezeiza;244167;124505;119662
6274;2025;Florencio Varela;557936;282376;275560
6371;2025;General San Martín;428283;205874;222409
6408;2025;Hurlingham;198509;95342;103167
6410;2025;Ituzaingó;185845;90622;95223
6412;2025;José C. Paz;324990;161212;163778
6427;2025;La Matanza;2509547;1241065;1268482
6434;2025;Lanús;462501;221554;240947
6490;2025;Lomas de Zamora;659249;320492;338757
6515;2025;Malvinas Argentinas;375896;187024;188872
6539;2025;Merlo;639681;318316;321365
6560;2025;Moreno;581729;293145;288584
6568;2025;Morón;316073;150981;165092
6658;2025;Quilmes;699997;342322;357675
6749;2025;San Fernando;179563;87007;92556
6756;2025;San Isidro;291097;138402;152695
6760;2025;San Miguel;315526;154415;161111
6861;2025;Vicente López;500615;248235;252380
6840;2025;Tres de Febrero;344354;164677;179677
6861;2025;Vicente López;265885;125719;140166
